****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00     32.00     26.30    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        TA       DIC        pH    OmegaC    OmegaA
      Step (FluxAvg)       (m)       (m)       (m)       (m) (mmol/m3) (mmol/m3)   (total)        ()        ()
       220    77.670     4.214     5.629     2.056    -6.499  1815.254  1604.212     8.236     3.203     2.021
       225    85.753     4.521     6.024     2.135    -6.285  1813.816  1603.815     8.234     3.187     2.011
       230    94.679     4.843     6.445     2.214    -6.067  1812.514  1603.455     8.233     3.173     2.002
       235   104.532     5.180     6.894     2.293    -5.844  1811.334  1603.130     8.231     3.160     1.994
       240   115.412     5.531     7.375     2.371    -5.616  1810.265  1602.835     8.230     3.149     1.986
------------------------- merging happened ---------------------------
       245   127.424     5.913     7.952     2.457    -5.353  1809.298  1602.567     8.228     3.138     1.980
       250   140.686     6.398     8.753     2.567    -5.001  1808.421  1602.325     8.227     3.129     1.974
       255   155.328     6.978     9.654     2.682    -4.615  1807.627  1602.106     8.226     3.120     1.968
       260   171.495     7.651    10.663     2.800    -4.195  1806.908  1601.908     8.225     3.113     1.963
---------------------------- Plume traps -----------------------------
---------------------------- Plume surfaces --------------------------
       265   189.344     8.418    11.787     2.920    -3.740  1806.257  1601.728     8.224     3.106     1.959
-------------------- Starting Farfield Calculations --------------------
Farfield dispersion based on wastefield width of :     111.55 (m)
4/3 Power Law based Eddy Diffusivity is used:
  Dilution     Width  Distance
        ()       (m)       (m)
   189.344   111.568    12.143
   189.344   112.576    15.000
   189.344   114.348    20.000
   189.344   116.117    25.000
   189.344   117.889    30.000
   189.346   119.666    35.000
   189.355   121.450    40.000
   189.387   123.241    45.000
   189.463   125.040    50.000
   189.605   126.846    55.000
   189.834   128.660    60.000
   190.164   130.481    65.000
   190.605   132.309    70.000
   191.162   134.145    75.000
   191.835   135.988    80.000
   192.623   137.838    85.000
   193.521   139.697    90.000
   194.525   141.561    95.000
   195.629   143.434   100.000
............................. Reached Chronic Mixing Zone ..........................
   196.826   145.314   105.000
   197.695   146.602   108.414
